time	V_out	I_out
0.007700	-338976672079508800.000000	312831211463910.250000
0.007800	-545390121167618944.000000	-197850681536789.250000
0.007900	-731417113000629760.000000	-1457736776596489.500000
0.008000	-732479081626624000.000000	-3892607914053943.000000
0.008100	-226718716876479616.000000	-7851485947059794.000000
0.008200	1314541390062445056.000000	-13230995324131508.000000
0.008300	4618724328449196032.000000	-18761739505750272.000000
0.008400	10451888529001007104.000000	-20865484345908372.000000
0.008500	19153817988149018624.000000	-12131644293348992.000000
0.008600	29662001377658830848.000000	20189865498618348.000000
0.008700	37814946639471165440.000000	94604367638710688.000000
0.008800	33861931147852787712.000000	232513236245136480.000000
0.008900	-469188424945324032.000000	448379698789707008.000000
0.009000	-94077120849861525504.000000	727639534647971328.000000
0.009100	-284867490922298015744.000000	986420242032409344.000000
0.009200	-609066495896674107392.000000	1009458953881210880.000000
0.009300	-1073148151245540950016.000000	371482266938896512.000000
0.009400	-1597685353210120241152.000000	-1632066631319171584.000000
0.009500	-1923373702189508984832.000000	-5980619428414741504.000000
0.009600	-1478817030515399852032.000000	-13725535117402099712.000000
0.009700	764495689561954582528.000000	-25384863379352166400.000000
0.009800	6371548764244474331136.000000	-39657703638193233920.000000
0.009900	17288382340636600172544.000000	-51169708486554681344.000000
0.010000	35152230917267422969856.000000	-47133313080991776768.000000
0.010100	59618434024668802318336.000000	-3357819345637818368.000000
0.010200	85158993898622102274048.000000	118748614448065249280.000000
0.010300	95902613346367720914944.000000	370381069100235685888.000000
0.010400	58699312844805232394240.000000	801666348426149625856.000000
0.010500	-83856462725307141455872.000000	1424998051285837283328.000000
0.010600	-415671249545401496240128.000000	2140920869328430039040.000000
0.010700	-1034892784632742323159040.000000	2613014642772446019584.000000
0.010800	-2010476162140645015683072.000000	2090122159853680721920.000000
0.010900	-3283616679668763703902208.000000	-792043494697445621760.000000
0.011000	-4486781234802115454435328.000000	-8127938761526608920576.000000
0.011100	-4662952840651621751848960.000000	-22555361393318480052224.000000
0.011200	-1906816233981779952795648.000000	-46366947348833451900928.000000
0.011300	6958457699532786997657600.000000	-79318823262649770311680.000000
0.011400	26382569920723496848064512.000000	-114396300927779297296384.000000
0.011500	61207870080979000277073920.000000	-130930301672800823279616.000000
0.011600	113988295463220498625724416.000000	-85245344216261727354880.000000
0.011700	179242865284616983135911936.000000	98951931196950630629376.000000
0.011800	233312406820509545786245120.000000	534219524204663670833152.000000
0.011900	219230175453083804486336512.000000	1354174241041973656944640.000000
0.012000	28456448341457463066755072.000000	2657262673887132594995200.000000
